lat,lng,alt
42.5363524998, -83.1203321153, 196.496610692
42.536312106, -83.1203312942, 196.485599148
42.5362721149, -83.1203300773, 196.356688013
42.5362333879, -83.1203294784, 196.388420791
42.5361958677, -83.1203290149, 196.408087957
42.5361622457, -83.1203283206, 196.541694188
42.5361387741, -83.1203276788, 196.524998324
42.5361200585, -83.1203273036, 196.532024623
42.5361026113, -83.1203261666, 196.665972308
42.536083398, -83.1203259992, 196.655205248
42.5360642724, -83.120325101, 196.902114944
42.5360440302, -83.120324557, 196.84219222
42.5360239547, -83.1203244939, 196.827879542
42.5360047813, -83.120324136, 196.944819138
42.5359843908, -83.1203241559, 196.900658247
42.5359646026, -83.1203240674, 196.758670927
42.5359473001, -83.1203241441, 196.783050926
42.5359326021, -83.1203238173, 196.791057582
42.5359159575, -83.1203236434, 196.783444017
42.5358977815, -83.1203235357, 196.655447826
42.5358791096, -83.1203229894, 196.686851817
42.5358601783, -83.1203223762, 196.705324804
42.535845179, -83.1203221828, 196.837978195
42.5358431773, -83.120322489, 196.822321655
42.5358482148, -83.1203224602, 196.829007197
42.5358505723, -83.1203218388, 196.950950602
42.5358508917, -83.120322476, 196.913802597
42.5358508493, -83.1203229913, 196.890388805
42.5358506568, -83.1203233621, 196.756302395
42.5358512124, -83.1203233588, 196.783416262
42.535851663, -83.1203241423, 196.792276957
42.535851766, -83.1203246555, 196.792284073
42.5358527853, -83.1203248267, 196.785584632
42.5358526489, -83.120325206, 196.660919879
42.5358531656, -83.1203255119, 196.702610305
42.5358539691, -83.1203257922, 196.847452008
42.5358539331, -83.120326185, 196.834660876
42.5358544343, -83.120326501, 196.960227842
42.5358542287, -83.1203274902, 196.942131971
42.5358545994, -83.1203278177, 197.070280043
42.5358547885, -83.1203283058, 197.166533126
42.5358547444, -83.1203288379, 197.12677236
42.5358548871, -83.1203290185, 197.115815369
42.5358545109, -83.1203289989, 197.120795721
42.535855105, -83.1203284827, 197.249883685
42.5358547611, -83.1203280289, 197.223587487
42.5358544903, -83.120328009, 197.222990699
42.5358551353, -83.120327484, 197.348579722
42.5358551451, -83.1203278235, 197.317953412
42.5358558941, -83.1203278403, 197.307561025
42.5358558313, -83.1203281524, 197.303470492
42.5358556728, -83.1203280118, 197.303216291
42.5358556195, -83.1203279843, 197.306743504
42.5358552921, -83.1203273603, 197.316930618
42.5358550597, -83.120326635, 197.445840221
42.5358547907, -83.1203258434, 197.417109832
42.5358549518, -83.120324865, 197.407283184
42.5358549881, -83.1203243253, 197.404756594
42.5358552713, -83.1203236641, 197.407470933
42.5358551562, -83.1203230228, 197.417248952
42.5358556368, -83.1203223121, 197.546682776
42.5358552781, -83.1203223302, 197.517749761
42.535854986, -83.120321997, 197.508192712
42.5358547732, -83.1203216733, 197.507567187
42.5358544154, -83.1203213367, 197.514392325
42.5358512238, -83.1203209539, 197.632240905
42.5358438005, -83.1203213382, 197.472855686
42.5358307242, -83.1203212667, 197.485402587
42.5358040664, -83.1203207384, 197.367084033
42.5357682698, -83.1203205855, 197.520103461
42.5357251558, -83.1203198407, 197.490790583
42.5356756068, -83.1203190768, 197.354399074
42.5356210016, -83.1203186544, 197.37974546
42.5355614233, -83.1203181587, 197.385607226
42.5354965288, -83.1203176324, 197.376961686
42.5354276235, -83.1203162477, 197.246255153
42.5353574932, -83.1203151645, 197.271694607
42.5352939715, -83.1203131911, 197.283380526
42.5352427476, -83.1203103718, 197.294326583
42.5351993082, -83.1203081354, 197.300454681
42.5351578308, -83.1203057129, 197.298766488
42.5351202639, -83.1203043918, 197.295627501
42.5350955321, -83.1203041417, 197.301340022
42.5350801872, -83.1203037975, 197.309143464
42.5350679508, -83.1203034712, 197.316406162
42.5350527997, -83.1203033154, 197.326073309
42.5350338042, -83.1203029046, 197.453711031
42.5350040442, -83.1203022961, 197.4154044
42.5349585697, -83.1203015319, 197.276805404
42.5348980602, -83.1203001466, 197.413528209
42.534827685, -83.1202991947, 197.262802779
42.5347498592, -83.1202971709, 197.285170162
42.5346643272, -83.1202947053, 197.294729233
42.5345719618, -83.1202926584, 197.30178286
42.534473888, -83.1202899718, 197.313962675
42.5343704295, -83.1202859754, 197.443449884
42.5342611243, -83.1202812466, 197.413447767
42.534148219, -83.1202772532, 197.402059386
42.5340331545, -83.1202751824, 197.397811032
42.5339191707, -83.1202740275, 197.398519468
42.5338044086, -83.1202696, 197.397896263
42.5336867487, -83.1202674725, 197.392384405
42.5335655256, -83.120265332, 197.376205174
42.5334409298, -83.1202596928, 197.233198128
42.5333147635, -83.120247939, 197.127166788
42.5331872379, -83.1202248711, 197.15106789
42.5330578857, -83.1202008346, 197.023802122
42.5329273333, -83.1201859648, 196.924918911
42.5327998283, -83.1201806384, 196.962104381
42.53268482, -83.1201800242, 196.978491534
42.5325845706, -83.1201803101, 196.985363339
