lat,lon,alt,x_vel,y_vel,z_vel,x_accel,y_accel,z_accel
42.32840783,-83.043051,185.5,1.860968528,10.02449166,-0.5,4.50030952,1.063839791,-0.2
42.328325,-83.04298817,185.1,-3.445273784,10.17625037,-0.4,-5.306242312,0.151758709,0.1
42.32823917,-83.04292333,184.6,1.355604243,10.91599068,-0.5,4.800878026,0.739740312,-0.1
42.32815083,-83.042856,184,-4.711899357,10.37113702,-0.6,-6.0675036,-0.544853657,-0.1
42.32806133,-83.042788,183.3,3.556543751,10.9685524,-0.7,8.268443108,0.597415376,-0.1
42.327972,-83.04272217,182.5,8.588796084,7.341250722,-0.8,5.032252333,-3.627301678,-0.1
42.32788433,-83.042659,181.7,8.318006071,7.254990414,-0.8,-0.270790013,-0.086260308,0
42.32779817,-83.0425975,180.8,8.847614704,6.549609064,-0.9,0.529608633,-0.705381351,-0.1
42.32771233,-83.0425365,179.8,9.967648885,4.065171343,-1,1.120034181,-2.484437721,-0.1
42.32763117,-83.04247933,179.4,10.03491832,1.59106266,-0.4,0.067269439,-2.474108683,0.6
42.32755517,-83.042424,179,5.235848172,7.595176092,-0.4,-4.799070151,6.004113432,0
42.32748933,-83.04237483,178.9,1.843531624,7.749386127,-0.1,-3.392316548,0.154210035,0.3
42.3274375,-83.04233483,178.9,-0.410104583,6.162784463,0,-2.253636207,-1.586601665,0.1
42.32740083,-83.04230683,178.6,-1.924237429,3.552229508,-0.3,-1.514132846,-2.610554955,-0.3
42.32738083,-83.0422925,178.6,1.322112036,1.409118965,0,3.246349465,-2.143110543,0.3
42.3273655,-83.042285,178.5,1.254332523,-1.167527007,-0.1,-0.067779513,-2.576645972,-0.1
42.327349,-83.0422825,178.5,1.869148999,-0.483649338,0,0.614816476,0.683877669,0.1
42.32733083,-83.042284,178.4,-1.979573666,0.39802922,-0.1,-3.848722665,0.881678559,-0.1
42.32731333,-83.0422905,178.4,0.165977752,2.038167887,0,2.145551418,1.640138666,0.1
42.32729517,-83.04230683,178.4,2.647042013,-0.161413027,0,2.48106426,-2.199580913,0
42.32727567,-83.04233433,178.3,3.31533533,0.587777967,-0.1,0.668293318,0.749190994,-0.1
