nice_timestamp	timestamp	lat	lon	speed(m/s)	angle	alt
1	82555	42.3308985	-83.0413616667	4.900593544	324.55	184.3
1	82556	42.3309005	-83.0414175	2.236288068	318.91	184.5
1	82557	42.330894	-83.0414421667	0.097229916	None	189.3
1	82558	42.3308918333	-83.0414565	0.264424216	None	193.6
1	82559	42.330887	-83.0414405	0.281915312	None	195.7
1	82560	42.3308846667	-83.0414346667	0.371943012	None	196.3
1	82561	42.3308883333	-83.041439	0.102374356	None	196.5
1	82562	42.3308845	-83.0414358333	0.149703204	None	195.8
1	82563	42.330887	-83.0414346667	0.034982192	None	197.0
1	82564	42.330888	-83.0414348333	0.138385436	None	197.3
1	82565	42.3308895	-83.0414295	0.150217648	None	197.6
1	82566	42.330891	-83.0414311667	0.051958844	None	197.9
1	82567	42.3308921667	-83.0414301667	0.06944994	None	197.8
1	82568	42.3308941667	-83.0414315	0.019548872	None	198.1
1	82569	42.330894	-83.0414303333	0.029323308	None	198.0
1	82570	42.330894	-83.0414298333	0.035496636	None	198.1
1	82571	42.330894	-83.0414318333	0.037554412	None	198.2
1	82572	42.3308941667	-83.0414313333	0.021606648	None	198.1
1	82573	42.3308946667	-83.0414298333	0.0257222	None	198.1
1	82574	42.3308948333	-83.041425	0.00771666	None	198.1
1	82575	42.3308945	-83.041424	0.17748318	None	198.3
1	82576	42.3308948333	-83.0414195	0.058132172	None	198.5
1	82577	42.3308946667	-83.0414168333	0.00257222	None	198.6
1	82578	42.330895	-83.0414121667	0.022121092	None	198.8
1	82579	42.3308958333	-83.0414045	0.120379896	None	199.0
1	82580	42.330896	-83.0413961667	0.030352196	None	199.5
1	82581	42.3308963333	-83.0413906667	0.084368816	None	199.9
1	82582	42.3308961667	-83.0413851667	0.175939848	None	200.2
1	82583	42.3308956667	-83.0413805	0.173882072	None	200.8
1	82584	42.3308956667	-83.0413708333	0.14661654	None	201.5
1	82585	42.3308955	-83.041356	0.439335176	352.41	202.4
1	82586	42.3308953333	-83.0413585	0.149703204	None	203.7
1	82587	42.3308968333	-83.0413463333	0.17491096	None	204.1
1	82588	42.3308968333	-83.0413305	0.059675504	None	204.9
1	82589	42.3308961667	-83.0413245	0.068935496	None	205.8
1	82590	42.3308955	-83.041319	0.042698852	None	206.3
1	82591	42.3308943333	-83.041313	0.040126632	None	206.8
1	82592	42.3308923333	-83.04131	0.04887218	None	207.5
1	82593	42.33089	-83.0413045	0.117807676	None	208.4
1	82594	42.330888	-83.0413008333	0.101345468	None	209.5
1	82595	42.3308858333	-83.041295	0.076137712	None	210.4
1	82596	42.3308851667	-83.0412948333	0.17748318	None	211.6
1	82597	42.3308936667	-83.0413	1.2089434	344.80	212.5
1	82598	42.3309181667	-83.0413131667	2.678709908	337.67	212.6
1	82599	42.3309531667	-83.0413293333	4.071309816	334.80	211.1
1	82600	42.3309961667	-83.0413516667	5.214918828	333.49	209.9
1	82601	42.3310451667	-83.0413775	6.003047036	333.17	209.1
1	82602	42.3311003333	-83.0414106667	6.912069584	332.36	208.7
1	82603	42.3311638333	-83.0414458333	7.845785444	332.76	208.6
1	82604	42.3312341667	-83.0414868333	8.543885952	334.05	208.5
1	82605	42.331306	-83.041529	8.97190336	334.18	207.8
1	82606	42.331377	-83.0415718333	8.634428096	334.30	208.2
1	82607	42.3314458333	-83.0416133333	8.348911676	335.02	208.4
1	82608	42.3315133333	-83.0416546667	8.124614092	335.54	208.5
1	82609	42.3315758333	-83.0416938333	7.556667916	334.67	208.4
1	82610	42.3316285	-83.0417288333	6.150692464	334.30	208.7
1	82611	42.3316663333	-83.0417576667	4.150534192	333.82	208.8
1	82612	42.3316856667	-83.0417838333	2.361812404	327.98	208.5
1	82613	42.3316953333	-83.0417881667	1.176018984	322.78	208.4
1	82614	42.3316985	-83.0417871667	0.418242972	None	208.7
1	82615	42.3316986667	-83.0417943333	0.021606648	None	209.1
1	82616	42.3316991667	-83.0417975	0.12603878	None	209.1
1	82617	42.3316988333	-83.041806	0.046814404	None	209.1
1	82618	42.3316981667	-83.0418125	0.02057776	None	209.1
